"post_inventory_id","user_id","dc_name","sku_name","category","prev_inventory","post_transfer_inventory","forecasted_sales","ideal_invt_days","qty_ac_invt_id_days","qty_remains","pre_invt_days","post_invt_days","run_id","created_at","updated_at"
12295,78,"Kochi","SKU1000145","BREAD, BISCUITS",9287,19886,30326,20,19886,0,9,20,184,"2024-10-26 10:09:32.896123+00","2024-10-26 10:09:32.896123+00"
12296,78,"Kochi","SKU1000146","BREAD, BISCUITS",2835,6832,15236,20,9991,-3159,6,14,184,"2024-10-26 10:09:32.904133+00","2024-10-26 10:09:32.904133+00"
12297,78,"Kochi","SKU1000147","CAKES, PASTRIES",7602,14037,21407,20,14037,0,11,20,184,"2024-10-26 10:09:32.920125+00","2024-10-26 10:09:32.920125+00"
12298,78,"Kochi","SKU1000148","CAKES, PASTRIES",14,14248,21728,20,14248,0,0,20,184,"2024-10-26 10:09:32.92813+00","2024-10-26 10:09:32.92813+00"
12299,78,"Kochi","SKU1000149","CAKES, PASTRIES",19335,618,943,20,618,0,625,20,184,"2024-10-26 10:09:32.936134+00","2024-10-26 10:09:32.936134+00"
12300,78,"Kochi","SKU1000150","CAKES, PASTRIES",288,12224,23424,20,15360,-3136,0,16,184,"2024-10-26 10:09:32.952134+00","2024-10-26 10:09:32.952134+00"
12301,78,"Kolkatta","SKU1000101","PACKAGED SNACKS",11516,7502,16002,10,5247,2255,22,14,184,"2024-10-26 10:09:32.960598+00","2024-10-26 10:09:32.960598+00"
12302,78,"Kolkatta","SKU1000102","PACKAGED SNACKS",2751,3824,52328,10,17157,-13333,2,2,184,"2024-10-26 10:09:32.974537+00","2024-10-26 10:09:32.974537+00"
12303,78,"Kolkatta","SKU1000103","PACKAGED SNACKS",5842,18710,57065,10,18710,0,3,10,184,"2024-10-26 10:09:32.980506+00","2024-10-26 10:09:32.980506+00"
12304,78,"Kolkatta","SKU1000104","PACKAGED SNACKS",16643,16163,23262,10,7627,8536,22,21,184,"2024-10-26 10:09:32.988545+00","2024-10-26 10:09:32.988545+00"
12305,78,"Kolkatta","SKU1000105","PACKAGED SNACKS",3277,1598,4873,10,1598,0,21,10,184,"2024-10-26 10:09:33.004545+00","2024-10-26 10:09:33.004545+00"
12306,78,"Kolkatta","SKU1000106","PACKAGED SNACKS",20746,11549,35223,10,11549,0,18,10,184,"2024-10-26 10:09:33.012546+00","2024-10-26 10:09:33.012546+00"
12307,78,"Kolkatta","SKU1000107","PACKAGED SNACKS",6977,1392,4245,10,1392,0,50,10,184,"2024-10-26 10:09:33.028537+00","2024-10-26 10:09:33.028537+00"
12308,78,"Kolkatta","SKU1000108","PACKAGED SNACKS",6193,5576,17007,10,5576,0,11,10,184,"2024-10-26 10:09:33.044552+00","2024-10-26 10:09:33.044552+00"
12309,78,"Kolkatta","SKU1000109","BREAKFAST CEREALS",10986,14716,44884,10,14716,0,7,10,184,"2024-10-26 10:09:33.052546+00","2024-10-26 10:09:33.052546+00"
12310,78,"Kolkatta","SKU1000110","BREAKFAST CEREALS",1518,3545,10812,10,3545,0,4,10,184,"2024-10-26 10:09:33.062265+00","2024-10-26 10:09:33.062265+00"
12311,78,"Kolkatta","SKU1000111","BREAKFAST CEREALS",25856,16606,50648,10,16606,0,16,10,184,"2024-10-26 10:09:33.080628+00","2024-10-26 10:09:33.080628+00"
12312,78,"Kolkatta","SKU1000112","BREAKFAST CEREALS",11891,9174,27980,10,9174,0,13,10,184,"2024-10-26 10:09:33.094688+00","2024-10-26 10:09:33.094688+00"
12313,78,"Kolkatta","SKU1000113","BREAKFAST CEREALS",19083,1375,2178,10,714,661,267,19,184,"2024-10-26 10:09:33.1027+00","2024-10-26 10:09:33.1027+00"
12314,78,"Kolkatta","SKU1000114","READY-TO-EAT MEALS",10092,9568,29182,10,9568,0,11,10,184,"2024-10-26 10:09:33.111338+00","2024-10-26 10:09:33.111338+00"
12315,78,"Kolkatta","SKU1000115","READY-TO-EAT MEALS",5150,15472,47191,10,15472,0,3,10,184,"2024-10-26 10:09:33.127565+00","2024-10-26 10:09:33.127565+00"
12316,78,"Kolkatta","SKU1000116","READY-TO-EAT MEALS",9371,2501,7628,10,2501,0,37,10,184,"2024-10-26 10:09:33.138259+00","2024-10-26 10:09:33.138259+00"
12317,78,"Kolkatta","SKU1000117","CANNED GOODS",11204,9022,27516,10,9022,0,12,10,184,"2024-10-26 10:09:33.144103+00","2024-10-26 10:09:33.144103+00"
12318,78,"Kolkatta","SKU1000118","CANNED GOODS",14251,15077,45985,10,15077,0,9,10,184,"2024-10-26 10:09:33.161555+00","2024-10-26 10:09:33.161555+00"
12319,78,"Kolkatta","SKU1000119","CARBONATED DRINKS",4559,670,2044,10,670,0,68,10,184,"2024-10-26 10:09:33.1696+00","2024-10-26 10:09:33.1696+00"
12320,78,"Kolkatta","SKU1000120","CARBONATED DRINKS",11749,11749,37796,10,12392,-643,9,9,184,"2024-10-26 10:09:33.180869+00","2024-10-26 10:09:33.180869+00"
12321,78,"Kolkatta","SKU1000121","CARBONATED DRINKS",14521,13261,17412,10,5709,7552,25,23,184,"2024-10-26 10:09:33.194203+00","2024-10-26 10:09:33.194203+00"
12322,78,"Kolkatta","SKU1000122","CARBONATED DRINKS",9144,11981,36543,10,11981,0,8,10,184,"2024-10-26 10:09:33.202209+00","2024-10-26 10:09:33.202209+00"
12323,78,"Kolkatta","SKU1000123","CARBONATED DRINKS",7005,7005,21707,10,7117,-112,10,10,184,"2024-10-26 10:09:33.212155+00","2024-10-26 10:09:33.212155+00"
12324,78,"Kolkatta","SKU1000124","JUICES",2004,6797,20730,10,6797,0,3,10,184,"2024-10-26 10:09:33.227664+00","2024-10-26 10:09:33.227664+00"
12325,78,"Kolkatta","SKU1000125","JUICES",16427,4708,14359,10,4708,0,35,10,184,"2024-10-26 10:09:33.235666+00","2024-10-26 10:09:33.235666+00"
12326,78,"Kolkatta","SKU1000126","JUICES",7975,8296,25791,10,8456,-160,9,10,184,"2024-10-26 10:09:33.248865+00","2024-10-26 10:09:33.248865+00"
12327,78,"Kolkatta","SKU1000127","JUICES",4442,4138,12621,10,4138,0,11,10,184,"2024-10-26 10:09:33.26124+00","2024-10-26 10:09:33.26124+00"
12328,78,"Kolkatta","SKU1000128","TEA & COFFEE",19639,10147,17942,10,5883,4264,33,17,184,"2024-10-26 10:09:33.270808+00","2024-10-26 10:09:33.270808+00"
12329,78,"Kolkatta","SKU1000129","TEA & COFFEE",1505,8205,25024,10,8205,0,2,10,184,"2024-10-26 10:09:33.280801+00","2024-10-26 10:09:33.280801+00"
12330,78,"Kolkatta","SKU1000130","TEA & COFFEE",5834,6121,36410,10,11938,-5817,5,5,184,"2024-10-26 10:09:33.29509+00","2024-10-26 10:09:33.29509+00"
12331,78,"Kolkatta","SKU1000131","TEA & COFFEE",3272,4375,13343,10,4375,0,7,10,184,"2024-10-26 10:09:33.31018+00","2024-10-26 10:09:33.31018+00"
12332,78,"Kolkatta","SKU1000132","TEA & COFFEE",517,1360,24869,10,8154,-6794,1,2,184,"2024-10-26 10:09:33.321259+00","2024-10-26 10:09:33.321259+00"
12333,78,"Kolkatta","SKU1000133","TEA & COFFEE",13058,105,319,10,105,0,1248,10,184,"2024-10-26 10:09:33.345062+00","2024-10-26 10:09:33.345062+00"
12334,78,"Kolkatta","SKU1000134","TEA & COFFEE",7504,9085,27709,10,9085,0,8,10,184,"2024-10-26 10:09:33.363757+00","2024-10-26 10:09:33.363757+00"
12335,78,"Kolkatta","SKU1000135","TEA & COFFEE",4010,4010,22388,10,7340,-3330,5,5,184,"2024-10-26 10:09:33.38894+00","2024-10-26 10:09:33.38894+00"
12336,78,"Kolkatta","SKU1000136","ENERGY DRINKS",7357,6857,20914,10,6857,0,11,10,184,"2024-10-26 10:09:33.420941+00","2024-10-26 10:09:33.420941+00"
12337,78,"Kolkatta","SKU1000137","ENERGY DRINKS",3303,3743,11417,10,3743,0,9,10,184,"2024-10-26 10:09:33.452339+00","2024-10-26 10:09:33.452339+00"
12338,78,"Kolkatta","SKU1000138","ENERGY DRINKS",3800,2329,7103,10,2329,0,16,10,184,"2024-10-26 10:09:33.481116+00","2024-10-26 10:09:33.481116+00"
12339,78,"Kolkatta","SKU1000139","ENERGY DRINKS",480,1725,5260,10,1725,0,3,10,184,"2024-10-26 10:09:33.508274+00","2024-10-26 10:09:33.508274+00"
12340,78,"Kolkatta","SKU1000140","ENERGY DRINKS",5530,3879,11830,10,3879,0,14,10,184,"2024-10-26 10:09:33.541289+00","2024-10-26 10:09:33.541289+00"
12341,78,"Kolkatta","SKU1000141","ENERGY DRINKS",10645,3579,6479,10,2124,1455,50,17,184,"2024-10-26 10:09:33.557289+00","2024-10-26 10:09:33.557289+00"
12342,78,"Kolkatta","SKU1000142","BREAD, BISCUITS",812,3918,11950,10,3918,0,2,10,184,"2024-10-26 10:09:33.56209+00","2024-10-26 10:09:33.56209+00"
12343,78,"Kolkatta","SKU1000143","BREAD, BISCUITS",3904,5925,18072,10,5925,0,7,10,184,"2024-10-26 10:09:33.678844+00","2024-10-26 10:09:33.678844+00"
12344,78,"Kolkatta","SKU1000144","BREAD, BISCUITS",6873,6013,18340,10,6013,0,11,10,184,"2024-10-26 10:09:33.710261+00","2024-10-26 10:09:33.710261+00"
12345,78,"Kolkatta","SKU1000145","BREAD, BISCUITS",5773,6305,19230,10,6305,0,9,10,184,"2024-10-26 10:09:33.721602+00","2024-10-26 10:09:33.721602+00"
12346,78,"Kolkatta","SKU1000146","BREAD, BISCUITS",7581,1938,5910,10,1938,0,39,10,184,"2024-10-26 10:09:33.729705+00","2024-10-26 10:09:33.729705+00"
12347,78,"Kolkatta","SKU1000147","CAKES, PASTRIES",10788,3219,4152,10,1361,1858,79,24,184,"2024-10-26 10:09:33.810272+00","2024-10-26 10:09:33.810272+00"
12348,78,"Kolkatta","SKU1000148","CAKES, PASTRIES",6696,6168,18813,10,6168,0,11,10,184,"2024-10-26 10:09:34.073642+00","2024-10-26 10:09:34.073642+00"
12349,78,"Kolkatta","SKU1000149","CAKES, PASTRIES",1280,5794,18603,10,6099,-305,2,9,184,"2024-10-26 10:09:34.081654+00","2024-10-26 10:09:34.081654+00"
12350,78,"Kolkatta","SKU1000150","CAKES, PASTRIES",4266,3585,10934,10,3585,0,12,10,184,"2024-10-26 10:09:34.093116+00","2024-10-26 10:09:34.093116+00"
12351,78,"chandigarh","SKU1000101","PACKAGED SNACKS",12360,27029,63415,13,27029,0,6,13,184,"2024-10-26 10:09:34.097667+00","2024-10-26 10:09:34.097667+00"
12352,78,"chandigarh","SKU1000102","PACKAGED SNACKS",16685,5887,13811,13,5887,0,37,13,184,"2024-10-26 10:09:34.113658+00","2024-10-26 10:09:34.113658+00"
12353,78,"chandigarh","SKU1000103","PACKAGED SNACKS",4708,4708,55835,13,23799,-19091,3,3,184,"2024-10-26 10:09:34.121715+00","2024-10-26 10:09:34.121715+00"
12354,78,"chandigarh","SKU1000104","PACKAGED SNACKS",14509,16461,38620,13,16461,0,11,13,184,"2024-10-26 10:09:34.129716+00","2024-10-26 10:09:34.129716+00"
12355,78,"chandigarh","SKU1000105","PACKAGED SNACKS",251,2462,11733,13,5001,-2539,1,6,184,"2024-10-26 10:09:34.137664+00","2024-10-26 10:09:34.137664+00"
12356,78,"chandigarh","SKU1000106","PACKAGED SNACKS",20951,3303,7749,13,3303,0,82,13,184,"2024-10-26 10:09:34.158299+00","2024-10-26 10:09:34.158299+00"
12357,78,"chandigarh","SKU1000107","PACKAGED SNACKS",18324,11978,28102,13,11978,0,20,13,184,"2024-10-26 10:09:34.166348+00","2024-10-26 10:09:34.166348+00"
12358,78,"chandigarh","SKU1000108","PACKAGED SNACKS",3040,8840,20739,13,8840,0,4,13,184,"2024-10-26 10:09:34.175627+00","2024-10-26 10:09:34.175627+00"
12359,78,"chandigarh","SKU1000109","BREAKFAST CEREALS",7141,22478,52738,13,22478,0,4,13,184,"2024-10-26 10:09:34.183689+00","2024-10-26 10:09:34.183689+00"
12360,78,"chandigarh","SKU1000110","BREAKFAST CEREALS",10783,10783,33675,13,14353,-3570,10,10,184,"2024-10-26 10:09:34.192981+00","2024-10-26 10:09:34.192981+00"
12361,78,"chandigarh","SKU1000111","BREAKFAST CEREALS",21189,12391,29071,13,12391,0,22,13,184,"2024-10-26 10:09:34.204072+00","2024-10-26 10:09:34.204072+00"
12362,78,"chandigarh","SKU1000112","BREAKFAST CEREALS",14811,9435,22137,13,9435,0,20,13,184,"2024-10-26 10:09:34.214046+00","2024-10-26 10:09:34.214046+00"
12363,78,"chandigarh","SKU1000113","BREAKFAST CEREALS",9433,9433,18381,13,7835,1598,16,16,184,"2024-10-26 10:09:34.222162+00","2024-10-26 10:09:34.222162+00"
12364,78,"chandigarh","SKU1000114","READY-TO-EAT MEALS",21971,20781,48756,13,20781,0,14,13,184,"2024-10-26 10:09:34.230161+00","2024-10-26 10:09:34.230161+00"
12365,78,"chandigarh","SKU1000115","READY-TO-EAT MEALS",1581,17447,45511,13,19398,-1951,1,12,184,"2024-10-26 10:09:34.246067+00","2024-10-26 10:09:34.246067+00"
12366,78,"chandigarh","SKU1000116","READY-TO-EAT MEALS",14921,739,1734,13,739,0,262,13,184,"2024-10-26 10:09:34.254161+00","2024-10-26 10:09:34.254161+00"
12367,78,"chandigarh","SKU1000117","CANNED GOODS",10414,10414,79914,13,34062,-23648,4,4,184,"2024-10-26 10:09:34.268259+00","2024-10-26 10:09:34.268259+00"
12368,78,"chandigarh","SKU1000118","CANNED GOODS",21082,1742,4087,13,1742,0,157,13,184,"2024-10-26 10:09:34.27982+00","2024-10-26 10:09:34.27982+00"
12369,78,"chandigarh","SKU1000119","CARBONATED DRINKS",65,65,42618,13,18165,-18100,0,0,184,"2024-10-26 10:09:34.292891+00","2024-10-26 10:09:34.292891+00"
12370,78,"chandigarh","SKU1000120","CARBONATED DRINKS",10407,9686,22724,13,9686,0,14,13,184,"2024-10-26 10:09:34.300986+00","2024-10-26 10:09:34.300986+00"
12371,78,"chandigarh","SKU1000121","CARBONATED DRINKS",8890,8890,9373,13,3995,4895,29,29,184,"2024-10-26 10:09:34.314427+00","2024-10-26 10:09:34.314427+00"
12372,78,"chandigarh","SKU1000122","CARBONATED DRINKS",11138,14200,33316,13,14200,0,10,13,184,"2024-10-26 10:09:34.327189+00","2024-10-26 10:09:34.327189+00"
12373,78,"chandigarh","SKU1000123","CARBONATED DRINKS",21536,10218,23972,13,10218,0,27,13,184,"2024-10-26 10:09:34.335192+00","2024-10-26 10:09:34.335192+00"
12374,78,"chandigarh","SKU1000124","JUICES",8093,8093,9735,13,4149,3944,25,25,184,"2024-10-26 10:09:34.342357+00","2024-10-26 10:09:34.342357+00"
12375,78,"chandigarh","SKU1000125","JUICES",8682,8682,32889,13,14018,-5336,8,8,184,"2024-10-26 10:09:34.360466+00","2024-10-26 10:09:34.360466+00"
12376,78,"chandigarh","SKU1000126","JUICES",9858,4855,11390,13,4855,0,26,13,184,"2024-10-26 10:09:34.375885+00","2024-10-26 10:09:34.375885+00"
12377,78,"chandigarh","SKU1000127","JUICES",12041,12782,29988,13,12782,0,12,13,184,"2024-10-26 10:09:34.383912+00","2024-10-26 10:09:34.383912+00"
12378,78,"chandigarh","SKU1000128","TEA & COFFEE",11338,11338,3319,13,1415,9923,104,104,184,"2024-10-26 10:09:34.391888+00","2024-10-26 10:09:34.391888+00"
12379,78,"chandigarh","SKU1000129","TEA & COFFEE",8772,15314,41404,13,17648,-2334,6,11,184,"2024-10-26 10:09:34.407886+00","2024-10-26 10:09:34.407886+00"
12380,78,"chandigarh","SKU1000130","TEA & COFFEE",11664,11664,37654,13,16049,-4385,9,9,184,"2024-10-26 10:09:34.424169+00","2024-10-26 10:09:34.424169+00"
12381,78,"chandigarh","SKU1000131","TEA & COFFEE",14647,15288,35868,13,15288,0,12,13,184,"2024-10-26 10:09:34.432184+00","2024-10-26 10:09:34.432184+00"
12382,78,"chandigarh","SKU1000132","TEA & COFFEE",19905,14626,34315,13,14626,0,18,13,184,"2024-10-26 10:09:34.441112+00","2024-10-26 10:09:34.441112+00"
12383,78,"chandigarh","SKU1000133","TEA & COFFEE",10361,7568,17756,13,7568,0,18,13,184,"2024-10-26 10:09:34.449143+00","2024-10-26 10:09:34.449143+00"
12384,78,"chandigarh","SKU1000134","TEA & COFFEE",8821,7154,3239,13,1381,5773,83,67,184,"2024-10-26 10:09:34.465645+00","2024-10-26 10:09:34.465645+00"
12385,78,"chandigarh","SKU1000135","TEA & COFFEE",4833,4833,18450,13,7864,-3031,8,8,184,"2024-10-26 10:09:34.476+00","2024-10-26 10:09:34.476+00"
12386,78,"chandigarh","SKU1000136","ENERGY DRINKS",5028,5028,5476,13,2334,2694,28,28,184,"2024-10-26 10:09:34.492636+00","2024-10-26 10:09:34.492636+00"
12387,78,"chandigarh","SKU1000137","ENERGY DRINKS",9784,9784,9761,13,4160,5624,31,31,184,"2024-10-26 10:09:34.50066+00","2024-10-26 10:09:34.50066+00"
12388,78,"chandigarh","SKU1000138","ENERGY DRINKS",15782,15782,20452,13,8717,7065,24,24,184,"2024-10-26 10:09:34.509549+00","2024-10-26 10:09:34.509549+00"
12389,78,"chandigarh","SKU1000139","ENERGY DRINKS",15571,10237,24018,13,10237,0,20,13,184,"2024-10-26 10:09:34.526296+00","2024-10-26 10:09:34.526296+00"
12390,78,"chandigarh","SKU1000140","ENERGY DRINKS",714,2595,6819,13,2906,-311,3,12,184,"2024-10-26 10:09:34.534357+00","2024-10-26 10:09:34.534357+00"
12391,78,"chandigarh","SKU1000141","ENERGY DRINKS",3380,3380,5477,13,2334,1046,19,19,184,"2024-10-26 10:09:34.542295+00","2024-10-26 10:09:34.542295+00"
12392,78,"chandigarh","SKU1000142","BREAD, BISCUITS",8858,7267,17049,13,7267,0,16,13,184,"2024-10-26 10:09:34.559703+00","2024-10-26 10:09:34.559703+00"
12393,78,"chandigarh","SKU1000143","BREAD, BISCUITS",10973,6063,14225,13,6063,0,24,13,184,"2024-10-26 10:09:34.568267+00","2024-10-26 10:09:34.568267+00"
12394,78,"chandigarh","SKU1000144","BREAD, BISCUITS",5543,11878,33350,13,14215,-2337,5,11,184,"2024-10-26 10:09:34.57727+00","2024-10-26 10:09:34.57727+00"
12395,78,"chandigarh","SKU1000145","BREAD, BISCUITS",3532,5901,13845,13,5901,0,8,13,184,"2024-10-26 10:09:34.593993+00","2024-10-26 10:09:34.593993+00"
12396,78,"chandigarh","SKU1000146","BREAD, BISCUITS",10282,2358,5533,13,2358,0,57,13,184,"2024-10-26 10:09:34.610341+00","2024-10-26 10:09:34.610341+00"
12397,78,"chandigarh","SKU1000147","CAKES, PASTRIES",11334,11334,11393,13,4856,6478,30,30,184,"2024-10-26 10:09:34.628425+00","2024-10-26 10:09:34.628425+00"
12398,78,"chandigarh","SKU1000148","CAKES, PASTRIES",6418,6418,8054,13,3433,2985,24,24,184,"2024-10-26 10:09:34.636497+00","2024-10-26 10:09:34.636497+00"
12399,78,"chandigarh","SKU1000149","CAKES, PASTRIES",848,848,26152,13,11147,-10299,1,1,184,"2024-10-26 10:09:34.653283+00","2024-10-26 10:09:34.653283+00"
12400,78,"chandigarh","SKU1000150","CAKES, PASTRIES",6951,6139,14403,13,6139,0,15,13,184,"2024-10-26 10:09:34.660498+00","2024-10-26 10:09:34.660498+00"
12401,78,"hyderabad","SKU1000101","PACKAGED SNACKS",4013,12518,34710,11,12518,0,4,11,184,"2024-10-26 10:09:34.678217+00","2024-10-26 10:09:34.678217+00"
12402,78,"hyderabad","SKU1000102","PACKAGED SNACKS",11322,2252,6245,11,2252,0,55,11,184,"2024-10-26 10:09:34.686315+00","2024-10-26 10:09:34.686315+00"
12403,78,"hyderabad","SKU1000103","PACKAGED SNACKS",3,1548,19222,11,6933,-5385,0,2,184,"2024-10-26 10:09:34.702113+00","2024-10-26 10:09:34.702113+00"
12404,78,"hyderabad","SKU1000104","PACKAGED SNACKS",10993,13174,36528,11,13174,0,9,11,184,"2024-10-26 10:09:34.71056+00","2024-10-26 10:09:34.71056+00"
12405,78,"hyderabad","SKU1000105","PACKAGED SNACKS",16216,7472,20718,11,7472,0,24,11,184,"2024-10-26 10:09:34.727536+00","2024-10-26 10:09:34.727536+00"
12406,78,"hyderabad","SKU1000106","PACKAGED SNACKS",9612,9612,31340,11,11303,-1691,9,9,184,"2024-10-26 10:09:34.73671+00","2024-10-26 10:09:34.73671+00"
12407,78,"hyderabad","SKU1000107","PACKAGED SNACKS",6779,6779,28627,11,10324,-3545,7,7,184,"2024-10-26 10:09:34.743768+00","2024-10-26 10:09:34.743768+00"
12408,78,"hyderabad","SKU1000108","PACKAGED SNACKS",11554,11762,32612,11,11762,0,11,11,184,"2024-10-26 10:09:34.760137+00","2024-10-26 10:09:34.760137+00"
12409,78,"hyderabad","SKU1000109","BREAKFAST CEREALS",9829,13885,38499,11,13885,0,8,11,184,"2024-10-26 10:09:34.776865+00","2024-10-26 10:09:34.776865+00"
12410,78,"hyderabad","SKU1000110","BREAKFAST CEREALS",12991,9253,25656,11,9253,0,15,11,184,"2024-10-26 10:09:34.787011+00","2024-10-26 10:09:34.787011+00"
12411,78,"hyderabad","SKU1000111","BREAKFAST CEREALS",14119,14473,40129,11,14473,0,11,11,184,"2024-10-26 10:09:34.794094+00","2024-10-26 10:09:34.794094+00"
12412,78,"hyderabad","SKU1000112","BREAKFAST CEREALS",17451,8981,24903,11,8981,0,21,11,184,"2024-10-26 10:09:34.810494+00","2024-10-26 10:09:34.810494+00"
12413,78,"hyderabad","SKU1000113","BREAKFAST CEREALS",3296,3296,7315,11,2638,658,14,14,184,"2024-10-26 10:09:34.827432+00","2024-10-26 10:09:34.827432+00"
12414,78,"hyderabad","SKU1000114","READY-TO-EAT MEALS",11908,8855,24553,11,8855,0,15,11,184,"2024-10-26 10:09:34.837569+00","2024-10-26 10:09:34.837569+00"
12415,78,"hyderabad","SKU1000115","READY-TO-EAT MEALS",10661,5579,15470,11,5579,0,21,11,184,"2024-10-26 10:09:34.845556+00","2024-10-26 10:09:34.845556+00"
12416,78,"hyderabad","SKU1000116","READY-TO-EAT MEALS",2220,2220,43978,11,15861,-13641,2,2,184,"2024-10-26 10:09:34.861506+00","2024-10-26 10:09:34.861506+00"
12417,78,"hyderabad","SKU1000117","CANNED GOODS",18954,18954,60698,11,21891,-2937,10,10,184,"2024-10-26 10:09:34.877499+00","2024-10-26 10:09:34.877499+00"
12418,78,"hyderabad","SKU1000118","CANNED GOODS",9170,4617,12803,11,4617,0,22,11,184,"2024-10-26 10:09:34.885569+00","2024-10-26 10:09:34.885569+00"
12419,78,"hyderabad","SKU1000119","CARBONATED DRINKS",23720,2907,8060,11,2907,0,90,11,184,"2024-10-26 10:09:34.901637+00","2024-10-26 10:09:34.901637+00"
